::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 Photoionisation model P6, MAPPINGS V v5.1.13 
::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 (Diffuse Field , Robust Integration, Radiation Pressure)

 Run   :, example II                                                                                      
 Input :, INTERACTIVE                     
 Output:, photn0001.ph6                   

 Abundances:
 El.,log[X/H],12+[X/H],log[Del],log[Dep],log[Gas],12+[Gas], Mass Fr.
     1218.344,  1.0176E+01,  2.4083E-03, O  V     , CM  ,    2
     1230.158,  1.0079E+01,  1.4857E-05, C  II    , RB  ,    4
     1238.821,  1.0008E+01,  1.4582E-04, N  V     , CM  ,    2
     1242.804,  9.9762E+00,  7.3536E-05, N  V     , CM  ,    2
     1250.584,  9.9141E+00,  6.6525E-05, S  II    , CC  ,    3
     1253.811,  9.8886E+00,  1.4634E-04, S  II    , CC  ,    3
     1259.519,  9.8438E+00,  1.7862E-04, S  II    , CC  ,    3
     1260.422,  9.8367E+00,  5.3433E-04, Si II    , CC  ,    3
     1264.738,  9.8032E+00,  1.7278E-04, Si II    , CC  ,    3
     1265.002,  9.8011E+00,  9.9452E-05, Si II    , CC  ,    3
     1302.168,  9.5214E+00,  2.1861E-05, O  I     , CM  ,    2
     1304.370,  9.5053E+00,  8.0059E-05, Si II    , CC  ,    3
     1304.858,  9.5017E+00,  1.2983E-05, O  I     , CM  ,    2
     1309.276,  9.4697E+00,  1.3906E-04, Si II    , CC  ,    3
     1334.532,  9.2905E+00,  1.4093E-03, C  II    , CM  ,    2
     1335.662,  9.2826E+00,  2.7836E-04, C  II    , CM  ,    2
     1335.707,  9.2823E+00,  1.1412E-03, C  II    , CM  ,    2
     1355.598,  9.1461E+00,  2.7325E-05, O  I     , CM  ,    2
     1393.755,  8.8957E+00,  1.1637E-02, Si IV    , CM  ,    2
     1397.226,  8.8736E+00,  7.2200E-04, O  IV    , CM  ,    2
     1398.040,  8.8684E+00,  2.3486E-04, S  IV    , CM  ,    2
     1399.776,  8.8574E+00,  2.0593E-03, O  IV    , CM  ,    2
     1401.163,  8.8487E+00,  4.8696E-03, O  IV    , CM  ,    2
     1402.770,  8.8385E+00,  5.9997E-03, Si IV    , CM  ,    2
     1404.806,  8.8257E+00,  5.5482E-03, O  IV    , CM  ,    2
     1404.808,  8.8257E+00,  1.6724E-03, S  IV    , CM  ,    2
     1406.016,  8.8181E+00,  5.5004E-03, S  IV    , CM  ,    2
     1407.384,  8.8095E+00,  2.0120E-03, O  IV    , CM  ,    2
     1416.887,  8.7505E+00,  4.7763E-03, S  IV    , CM  ,    2
     1423.839,  8.7077E+00,  1.2198E-03, S  IV    , CM  ,    2
     1431.910,  8.6587E+00,  1.5048E-05, Fe III   , CM  ,    2
     1434.809,  8.6412E+00,  6.9171E-05, Fe III   , CM  ,    2
     1443.845,  8.5871E+00,  3.7776E-05, Fe III   , CM  ,    2
     1447.222,  8.5670E+00,  1.4237E-05, Fe III   , CM  ,    2
     1483.321,  8.3586E+00,  1.5495E-03, N  IV    , CM  ,    2
     1486.496,  8.3407E+00,  1.0363E-03, N  IV    , CM  ,    2
     1503.239,  8.2478E+00,  1.6687E-05, Fe III   , CM  ,    2
     1504.560,  8.2406E+00,  3.1949E-05, Fe III   , CM  ,    2
     1514.500,  8.1865E+00,  1.8600E-05, Fe III   , CM  ,    2
     1526.707,  8.1210E+00,  2.2805E-04, Si II    , CC  ,    3
     1533.431,  8.0854E+00,  4.4897E-04, Si II    , CC  ,    3
     1548.187,  8.0084E+00,  4.8147E-02, C  IV    , CM  ,    2
     1550.772,  7.9950E+00,  2.4252E-02, C  IV    , CM  ,    2
     1574.700,  7.8735E+00,  1.0886E-04, Ne V     , CM  ,    2
     1575.637,  7.8688E+00,  1.2940E-05, Fe III   , CM  ,    2
     1576.660,  7.8637E+00,  1.0710E-04, Fe III   , CM  ,    2
     1586.541,  7.8147E+00,  3.4213E-05, Fe III   , CM  ,    2
     1593.679,  7.7797E+00,  1.0658E-05, Fe III   , CM  ,    2
     1601.517,  7.7417E+00,  7.1517E-04, Ne IV    , CM  ,    2
     1601.680,  7.7409E+00,  3.0028E-04, Ne IV    , CM  ,    2
     1640.417,  7.5581E+00,  4.1180E-02, He II    , RCAB,    1
     1660.809,  7.4653E+00,  5.8728E-02, O  III   , CC  ,    3
     1666.150,  7.4414E+00,  1.7199E-01, O  III   , CC  ,    3
     1670.787,  7.4207E+00,  1.2152E-03, Al II    , CM  ,    2
     1713.114,  7.2374E+00,  4.6834E-03, S  III   , CC  ,    3
     1728.942,  7.1711E+00,  1.2850E-02, S  III   , CC  ,    3
     1746.822,  7.0977E+00,  3.8874E-04, N  III   , CM  ,    2
     1748.646,  7.0903E+00,  9.8795E-04, N  III   , CM  ,    2
     1749.674,  7.0861E+00,  2.2556E-03, N  III   , CM  ,    2
     1752.160,  7.0761E+00,  2.6876E-03, N  III   , CM  ,    2
     1753.995,  7.0687E+00,  1.0224E-03, N  III   , CM  ,    2
     1760.611,  7.0421E+00,  1.4794E-04, C  II    , RB  ,    4
     1808.013,  6.8575E+00,  3.0884E-03, Si II    , CC  ,    3
     1814.559,  6.8327E+00,  3.4364E-03, Ne III   , CM  ,    2
     1816.928,  6.8238E+00,  3.8104E-03, Si II    , CC  ,    3
     1817.451,  6.8219E+00,  4.1300E-04, Si II    , CC  ,    3
     1854.716,  6.6848E+00,  6.3867E-04, Al III   , CM  ,    2
